id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
MARESCHALA_COURBERGERE_1640,"MARESCHAL, André","LA COUR BERGÈRE, OU L'ARCADIE DE MESSIRE PHILIPPES SIDNEY. TRAGI-COMÉDIE",1640,Tragi-comédie,moeurs françaises,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k703696
MARESCHALA_MAUZOLEE_1642,"MARESCHAL, André","LE MAUZOLÉE, TRAGICOMÉDIE.",1642,Tragi-comédie,moeurs orientales,Cinq actes,vers,1641-1650,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k8415538
MARESCHALA_JUGEMENT_1645,"MARESCHAL, André","LE JUGEMENT ÉQUITABLE DE CHARLES LE HARDY DERNIER DUC DE BOURGOGNE, TRAGÉDIE.",1645,Tragédie,moeurs orientales,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k715977
MARESCHALA_DICTATEURROMAIN_1646,"MARESCHAL, André","LE DICTATEUR ROMAIN, TRAGI-COMÉDIE.",1646,Tragi-comédie,histoire romaine,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k71640
MOLIERE_JALOUSIEDUBARBOUILLE_1650,MOLIÈRE,"LA JALOUSIE DU BARBOUILLÉ, COMÉDIE",1650,Farce,moeurs françaises,Un acte,prose,1641-1650,(mesure non pertinente),
MOLIERE_SICILIEN_1655,MOLIÈRE,"LE SICILIEN OU L'AMOUR PEINTRE, COMÉDIE",1655,Comédie,moeurs françaises,Un acte,mixte,1661-1670,0-250,http://gallica.bnf.fr/ark:/12148/bpt6k5690145v
MOLIERE_DEPITAMOUREUX_1656,MOLIÈRE,LE DÉPIT AMOUREUX,1656,Comédie,moeurs françaises,Cinq actes,vers,1651-1660,1750-2000,
MOLIERE_PRECIEUSESRIDICULES_1660,MOLIÈRE,"LES PRÉCIEUSES RIDICULES, COMÉDIE",1660,Comédie,moeurs françaises,Un acte,prose,1651-1660,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/bpt6k70179z
MOLIERE_SGANARELLE_1660,MOLIÈRE,"SGANARELLE ou Le COCU IMAGINAIRE, COMÉDIE",1660,Comédie,moeurs françaises,Un acte,vers,1651-1660,500-750,
MOLIERE_ECOLEDESMARIS_1661,MOLIÈRE,"L'ÉCOLE DES MARIS, COMÉDIE",1661,Comédie,moeurs françaises,Trois actes,vers,1661-1670,1000-1250,http://gallica.bnf.fr/ark:/12148/btv1b86107875
MOLIERE_FACHEUX_1662,MOLIÈRE,"LES FÂCHEUX, COMÉDIE",1662,Comédie-ballet,moeurs françaises,"Trois actes, un prologue",vers,1661-1670,750-1000,http://gallica.bnf.fr/ark:/12148/btv1b86107890
MOLIERE_CRITIQUEECOLEDESFEMMES_1663,MOLIÈRE,"LA CRITIQUE DE L'ÉCOLE DES FEMMES, COMÉDIE.",1663,Comédie,moeurs françaises,Un acte,prose,1661-1670,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/btv1b8610786r
MOLIERE_ECOLEDESFEMMES_1663,MOLIÈRE,"L'ÉCOLE DES FEMMES, COMÉDIE.",1663,Comédie,moeurs françaises,Cinq actes,vers,1661-1670,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b8610785b
MOLIERE_ETOURDI_1663,MOLIÈRE,"L'ÉTOURDI ou LES CONTRE-TEMPS, COMÉDIE",1663,Comédie,moeurs françaises,Cinq actes,vers,1661-1670,2000-2250,http://gallica.bnf.fr/ark:/12148/btv1b8610788k
MOLIERE_PRINCESSEDELIDE_1664,MOLIÈRE,"LA PRINCESSE D'ÉLIDE, COMÉDIE GALANTE",1664,Comédie galante,moeurs françaises,Cinq actes,mixte,1661-1670,250-500,
MOLIERE_AMOURMEDECIN_1665,MOLIÈRE,"L'AMOUR MÉDECIN, COMÉDIE ",1665,Comédie,moeurs françaises,Trois actes,prose,1661-1670,(mesure non pertinente),
MOLIERE_FESTINDEPIERRE_1665,MOLIÈRE,"LE FESTIN DE PIERRE, COMÉDIE ",1665,Comédie,moeurs italiennes,Cinq actes,prose,1681-1690,(mesure non pertinente),
MOLIERE_MONSIEURPOURCEAUGNAC_1665,MOLIÈRE,"MONSIEUR DE POURCEAUGNAC, COMÉDIE-BALLET.",1665,Comédie-ballet,moeurs françaises,Cinq actes,mixte,1661-1670,0-250,http://gallica.bnf.fr/ark:/12148/btv1b8610798z
MOLIERE_PSYCHE_1666,MOLIÈRE,"PSYCHÉ, TRAGI-COMÉDIE",1666,Tragi-comédie,moeurs françaises,Cinq actes,vers,1661-1670,2000-2250,
MOLIERE_MISANTHROPE_1667,MOLIÈRE,"LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE",1667,Comédie,moeurs françaises,Cinq actes,vers,1661-1670,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b8610797j
MOLIERE_MEDECINMALGRELUI_1668,MOLIÈRE,"LE MÉDECIN MALGRÉ LUI, COMÉDIE.",1668,Comédie,moeurs françaises,Un acte,prose,1651-1660,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/bpt6k5690145
MOLIERE_MARIAGEFORCE_1668,MOLIÈRE,"LE MARIAGE FORCÉ, COMÉDIE-BALLET.",1668,Comédie-ballet,moeurs françaises,Un acte,prose,1661-1670,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/btv1b8626162d
MOLIERE_AMPHITRYON_1668,MOLIÈRE,"AMPHITRYON, COMÉDIE",1668,Comédie,mythe grec,"Trois actes, un prologue",vers,1661-1670,1750-2000,
MOLIERE_AVARE_1669,MOLIÈRE,"L'AVARE, COMÉDIE",1669,Comédie,moeurs françaises,Cinq actes,prose,1661-1670,(mesure non pertinente),
